Model,TargetRealParameters,ActualRealParameters,FixedLambda,IdentificationNMSEdB,FullSignalNMSEdB,FLOPsPerSample
PN-IQ PN-DOMP,370,370,1e-05,-51.4643375779713,-51.420490193329,1205
PN-IQ PN-DOMP,380,380,0.001,-41.6616334131554,-41.6638494507133,1233
PN-IQ PN-DOMP,380,380,0.0001,-49.552218925461,-49.5313002880762,1233
PN-IQ PN-DOMP,380,380,1e-05,-51.4652618900018,-51.4213489182493,1233
PN-IQ PN-DOMP,390,390,0.001,-41.6616444376778,-41.6635394332401,1267
PN-IQ PN-DOMP,390,390,0.0001,-49.5526908646014,-49.5311927436757,1267
PN-IQ PN-DOMP,390,390,1e-05,-51.4664384394,-51.4219998394337,1267
PN-IQ PN-DOMP,400,400,0.001,-41.6616715841678,-41.6638037321098,1297
PN-IQ PN-DOMP,400,400,0.0001,-49.5536210363366,-49.5321215841188,1297
PN-IQ PN-DOMP,400,400,1e-05,-51.4675938049711,-51.4228718599394,1297
PN-IQ PN-DOMP,410,410,0.001,-41.6611674274123,-41.6630647598527,1342
PN-IQ PN-DOMP,410,410,0.0001,-49.5553342459841,-49.5327039909491,1342
PN-IQ PN-DOMP,410,410,1e-05,-51.4679813061287,-51.4227902768768,1342
PN-IQ PN-DOMP,420,420,0.001,-41.6729887024248,-41.6685840497775,1365
PN-IQ PN-DOMP,420,420,0.0001,-49.5443978913197,-49.5193500315575,1365
PN-IQ PN-DOMP,420,420,1e-05,-51.4650765369376,-51.4198219677784,1365
PN-IQ PN-DOMP,430,430,0.001,-41.6321379535633,-41.6272891782228,1391
PN-IQ PN-DOMP,430,430,0.0001,-49.5398553903221,-49.5148316783437,1391
PN-IQ PN-DOMP,430,430,1e-05,-51.4659876117404,-51.4212959648642,1391
PN-IQ PN-DOMP,440,440,0.001,-41.634128661156,-41.6290841058067,1423
PN-IQ PN-DOMP,440,440,0.0001,-49.5391539500383,-49.514189589597,1423
PN-IQ PN-DOMP,440,440,1e-05,-51.4676302392386,-51.4221486807399,1423
PN-IQ PN-DOMP,450,450,0.001,-41.6309744024324,-41.6247988590151,1451
PN-IQ PN-DOMP,450,450,0.0001,-49.538338478435,-49.5127774772146,1451
PN-IQ PN-DOMP,450,450,1e-05,-51.4684024187225,-51.4218229862102,1451
PN-IQ PN-DOMP,460,460,0.001,-41.6227941095915,-41.6182980066348,1480
PN-IQ PN-DOMP,460,460,0.0001,-49.5392355582884,-49.5135626149691,1480
PN-IQ PN-DOMP,460,460,1e-05,-51.4694724730303,-51.422401040259,1480
PN-IQ PN-DOMP,470,470,0.001,-41.5650524941589,-41.5643679672448,1507
PN-IQ PN-DOMP,470,470,0.0001,-49.5342929099997,-49.5114024998276,1507
PN-IQ PN-DOMP,470,470,1e-05,-51.4700224806687,-51.4228689082165,1507
PN-IQ PN-DOMP,480,480,0.001,-40.5378849657292,-40.4998146885047,1533
PN-IQ PN-DOMP,480,480,0.0001,-49.2885771167147,-49.2713377855401,1533
PN-IQ PN-DOMP,480,480,1e-05,-51.4627912855681,-51.4176652258682,1533
PN-IQ PN-DOMP,490,490,0.001,-40.5428774199775,-40.507577719778,1561
PN-IQ PN-DOMP,490,490,0.0001,-49.2640596896389,-49.247730156216,1561
PN-IQ PN-DOMP,490,490,1e-05,-51.4620731473916,-51.4163433775316,1561
PN-IQ PN-DOMP,500,500,0.001,-40.5430401702229,-40.5073306702671,1585
PN-IQ PN-DOMP,500,500,0.0001,-49.2642538789314,-49.2469341699528,1585
PN-IQ PN-DOMP,500,500,1e-05,-51.4627073593552,-51.4167127283724,1585
