Model,TargetRealParameters,ActualRealParameters,FixedLambda,IdentificationNMSEdB,FullSignalNMSEdB,FLOPsPerSample,MaxAbsRealParameter
PN-IQ PN-DOMP,320,320,0.0001,-38.4891690950479,-38.4569458634728,1038,1.00093030921681
PN-IQ PN-DOMP,320,320,1e-05,-39.5045628974143,-39.4931256561393,1038,1.16400563056018
PN-IQ PN-DOMP,330,330,0.001,-35.2401398619741,-35.1809202436682,1065,0.791026090675043
PN-IQ PN-DOMP,330,330,0.0001,-38.5111461894747,-38.4793792839981,1065,0.999311258008605
PN-IQ PN-DOMP,330,330,1e-05,-39.5329926935816,-39.5200140006182,1065,1.16093139782617
PN-IQ PN-DOMP,340,340,0.001,-35.2477871173294,-35.1877340472785,1095,0.790820903288872
PN-IQ PN-DOMP,340,340,0.0001,-38.5184706773152,-38.4869701141891,1095,0.999207668305554
PN-IQ PN-DOMP,340,340,1e-05,-39.5385721220905,-39.5273585249466,1095,1.16006630770696
PN-IQ PN-DOMP,350,350,0.001,-35.2466822558037,-35.1853883866831,1121,0.790547932198849
PN-IQ PN-DOMP,350,350,0.0001,-38.5218539864474,-38.490969796033,1121,0.999166851918237
PN-IQ PN-DOMP,350,350,1e-05,-39.5416448966664,-39.5301156541872,1121,1.15993603850913
PN-IQ PN-DOMP,360,360,0.001,-35.2505867143635,-35.1891071585892,1150,0.790297828144127
PN-IQ PN-DOMP,360,360,0.0001,-38.5281737032936,-38.4973838711514,1150,0.999043954595575
PN-IQ PN-DOMP,360,360,1e-05,-39.5463383346057,-39.5343067922527,1150,1.15992198674823
PN-IQ PN-DOMP,370,370,0.001,-35.251710510752,-35.1896077237042,1180,0.790281318279014
PN-IQ PN-DOMP,370,370,0.0001,-38.5309978039921,-38.4993842357132,1180,0.999057466772379
PN-IQ PN-DOMP,370,370,1e-05,-39.5515023790077,-39.5376145097529,1180,1.15997416221805
PN-IQ PN-DOMP,380,380,0.001,-35.2647425637222,-35.2014673257945,1211,0.790034167650027
PN-IQ PN-DOMP,380,380,0.0001,-38.5522308109013,-38.5237135089512,1211,0.997868673740942
PN-IQ PN-DOMP,380,380,1e-05,-39.5617238222035,-39.5498691562976,1211,1.15919481010295
PN-IQ PN-DOMP,390,390,0.001,-35.2515842793419,-35.1875917925315,1241,0.789610382568463
PN-IQ PN-DOMP,390,390,0.0001,-38.5537981326367,-38.5240018303851,1241,0.997577857704212
PN-IQ PN-DOMP,390,390,1e-05,-39.5641405250419,-39.5519367034494,1241,1.15950747176469
PN-IQ PN-DOMP,400,400,0.001,-35.2516908116557,-35.1875214966937,1271,0.789566616206398
PN-IQ PN-DOMP,400,400,0.0001,-38.555114072291,-38.5250844842937,1271,0.997544972452124
PN-IQ PN-DOMP,400,400,1e-05,-39.5714615722677,-39.5594828628299,1271,1.15961562963396
PN-IQ PN-DOMP,410,410,0.001,-35.2526776123825,-35.1876746879017,1302,0.789548676854943
PN-IQ PN-DOMP,410,410,0.0001,-38.5552091797385,-38.5245796664567,1302,0.997538798355203
PN-IQ PN-DOMP,410,410,1e-05,-39.5722528404483,-39.560058200568,1302,1.15957810920739
PN-IQ PN-DOMP,420,420,0.001,-35.2575099574513,-35.1893945896402,1332,0.789529118871525
PN-IQ PN-DOMP,420,420,0.0001,-38.557375552818,-38.5239862166748,1332,0.997448955877314
PN-IQ PN-DOMP,420,420,1e-05,-39.5755794950815,-39.5605484598975,1332,1.15940474455607
PN-IQ PN-DOMP,430,430,0.001,-35.2586967026606,-35.1896660679506,1364,0.789456271004245
